tweet,manual_toxicity,predicted_toxic,predicted_verytoxic,predicted_toxic_value,predicted_verytoxic_value
Crees que Irene Montero está MALTRATANDO INJUSTAMENTE a la mayoria de los hombres???,1,0.9964796900749207,0.947788655757904,2,2
"Descubro accidentalmente que Javier Ortega Smith me tiene bloqueada. Se ve que algunos de mis tweets les hacen pupita a los bozaleros, vacuneros y disidencia controlada de Vox. A ningún traidor le gusta que le echen en cara su falta de moralidad",1,0.9942271709442139,0.9959847927093506,2,2
"Muy necesaria las vacunas a los niños, ya que han muerto 20 en toda España por covid.",1,0.08666453510522842,0.0009766885777935386,0,0
"Muy bien, Pedro. Un día menos para que te hechemos, usurpador.",1,0.9905153512954712,0.47176679968833923,2,0
"Lo de lograr la inmunidad de rebaño lo van consiguiendo, porque somos una sociedad de borregos que pese a ver sus derechos más fundamentales pisoteados por estos políticos que nos gobiernan, no hemos salido a la calle a gritar basta ya",1,0.9886646270751953,0.05767717957496643,2,0
"El acoso que sufrió @PabloIglesias, @IreneMontero y sus hijos, frente a su casa, también es condenable.",1,0.015507746487855911,0.0016316459514200687,0,0
Soy yo el unico que piensa que Irene Montero necesita ayuda psiquiatrica?,1,0.10519038140773773,0.0014271512627601624,0,0
"Buena propuesta de ley, no hagáis más.",1,0.010827843099832535,0.0018111788667738438,0,0
"A Isabel Díaz Ayuso, después de esto, no le queda otra opción que dimitir. Qué menos.",1,0.944199800491333,0.01091187633574009,2,0
"Si tan lista es Ayuso, ¿por qué no deduce con claridad la responsabilidad de las muertes en residencias?",1,0.8189152479171753,0.003035122761502862,1,0
"La definición de tener más cara que espalda. Señora @IdiazAyuso, no va a colar",1,0.19826695322990417,0.0017494431231170893,0,0
"Buen discurso de Ayuso, pero mis dos cacatúas hablan mejor sin tener que leer ningún papel",1,0.10344894975423813,0.0011468261945992708,0,0
Ayuso se gasta más de 17 millones en toros y ahora le faltan 17 millones para sanidad,1,0.9205292463302612,0.00927866343408823,2,0
"Algunos por lo menos pagan el chalé, no como Espinosa de los Monteros y Rocío Monasterio",1,0.3720206022262573,0.004637166392058134,0,0
"Mejor votarte a ti, que pides Netflix en catalán. Todo lo que necesita el obrero.",1,0.9872657060623169,0.05611409246921539,2,0
"Estoy de acuerdo, mejor votar a la extrema izquierda nacionalista destructora de familias",1,0.9961108565330505,0.9816665649414062,2,2
"al trabajador que se parte el lomo para pagarse un techo seguro que le encanta que vayais regalando casas a inmigrantes que luego violan a sus hijas, si",1,0.9961941242218018,0.9510220885276794,2,2
"Con odio viven Santiago Abascal, Javier Ortega Smith, Iván Espinosa de los Monteros, Rocío Monasterio, Macarena Olona, Ortega Lara y todos los demás y no les deseo la muerte. Almudena vivió con talento y compromiso.",1,0.028546014800667763,0.0015664390521124005,0,0
"¿Pablo Casado ha comparado la segregación racial de Ruby Bridges, la primera niña afroamericana en asistir a una escuela de <<blancos>>, con Canet de Mar y la orden del presidente Kennedy para escoltar con tropas federales a los alumnos en 1962?",1,0.6680261492729187,0.0029202268924564123,1,0
Seguro que te van a votar a ti que te embolsas 140.000€ al año por insultar a los españoles,1,0.9958107471466064,0.9663763046264648,2,2
"SEÑOR FRA-CASADO, @pablocasado UN DIA SE LO VATICINÉ",1,0.9445626735687256,0.008453944697976112,2,0
"@PP desde luego para hacernos reír sois los mejores, vaya panda de analfabetos",1,0.9911009669303894,0.9974282383918762,2,2
"@marianorajoy gracias por todo, chorizo",1,0.00947002787142992,0.00460305018350482,0,0
"Gracias por destruir a la derecha de este país, traidor",1,0.9911550283432007,0.9973194003105164,2,2
Mariano Rajoy no sabia nada del dinero negro que entraba en el PP igual que Cristina Cifuentes no sabia nada de un master que aparecio en su casa,1,0.9802207946777344,0.08235877007246017,2,0
"Ayuso es PP. Que no te engañen. Fue la niña mimada de Esperanza Aguirre, Alfredo Prada y Cristina Cifuentes. Qué tres !!! Miren qué profesores tuvo !",1,0.9965608716011047,0.9555501937866211,2,2
¿En qué universidad cursó usted la carrera? ¿En la misma que Pablo Casado aprobó media carrera en 6 meses o en la que Cristina Cifuentes obtuvo un master sin ir a clase ni hacer trabajos?,1,0.057087238878011703,0.0015193927101790905,0,0
Ya no pintas nada fachita. Te deseo lo mejor,1,0.9172511696815491,0.022380288690328598,2,0
Cristina cifuentes cayó por unas cremas de Olay y Rajoy por la Gurtel. La izquierda es demoledora,1,0.9964802861213684,0.6285648941993713,2,1
"Gracias por tu gestión presi, ahora tendremos más infectados por el virus chino",1,0.023838268592953682,0.0022108645644038916,0,0
"Pablo Iglesias: gran político, mejor traidor a España",1,0.9855782389640808,0.1032642349600792,2,0
A todos los que criticáis a Ayudo: Pasáoslo bien encarcelados siendo ganado,1,0.12280458211898804,0.0009048971114680171,0,0
¿Sabéis lo mejor? El concepto de calentamiento global fue creado por y para los chinos con el fin de hacer que la fabricación española no fuera competitiva,1,0.03976982459425926,0.0008838425856083632,0,0
"Pues nada, a disfrutar del mundo tan maravilloso que nos están dejando los progres",1,0.006937967613339424,0.002218443900346756,0,0
"Da igual cuántas cosas buenas haga el gobierno, seguiré pensando igual. Yo flipo muchísimo cada vez que toman una de sus increíbles decisiones",1,0.01141336653381586,0.001551502849906683,0,0
"Anda, maja, ve a la cocina y hazme un bocata o algo, así harás algo más útil que twittear tonterías",1,0.12050874531269073,0.0018723987741395831,0,0
"""Personas capaces de todo, valientes que han vivido de todo, el futuro de España"" así describen a los M E N A S los progres, en qué mundo vivimos!!",1,0.9662336707115173,0.011682000011205673,2,0
Acabo de encender la televisión para ver a Ayuso hablando... no sabía que era Halloween...,1,0.014321553520858288,0.0014857753412798047,0,0
"Que sí, que Pablo Iglesias es muy majo, hace gracia y es lo mejor que ha visto la izquierda española... pero sigue siendo un gilipollas",1,0.9964661598205566,0.8684905767440796,2,1
Menuda necesidad de llamarme hijo de puta por decir que Pedro Sánchez es genial,0,0.02652219496667385,0.0013258984545245767,0,0
Por qué a la derecha no le gusta el Papa y por qué calificaron su encuentro con Yolanda Díaz como reunión entre comunistas nunca lo entenderé,0,0.8867706060409546,0.004038495477288961,1,0
Me da pena lo que está ocurriendo con Ciudadanos,0,0.010620913468301296,0.0013924899976700544,0,0
"Monasterio pide a Ayuso quitar las subvenciones a los ""sindicatos corruptos de la hoz y el martillo""",0,0.9951460957527161,0.5070884227752686,2,1
Dice Rocío Monasterio que jamás había conocido trabajadores a los que hubiese que pagar.,0,0.023921741172671318,0.0011351299472153187,0,0
"estoy de acuerdo con la idea, pero no estoy de acuerdo con insultar a cualquier persona con la excusa de que la otra persona es un nazi",0,0.9938666224479675,0.7814396023750305,2,1
"Lo que nosotros hemos hecho, cosa que no hizo usted, es engañar a la gente",0,0.9850265383720398,0.11378024518489838,2,0
"Por favor dejad de insultar, un debate no es lugar para llamar a otra persona ""imbécil""",0,0.9350332617759705,0.023041753098368645,2,0
no voto al PSOE pero estoy de acuerdo,0,0.09041527658700943,0.00204309425316751,0,0
no voto al PP pero estoy de acuerdo,0,0.10378594696521759,0.0016617465298622847,0,0
no voto a VOX pero estoy de acuerdo,0,0.17948144674301147,0.0029890593141317368,0,0
no voto a Podemos pero estoy de acuerdo,0,0.1477811336517334,0.0018502507591620088,0,0
no voto a Ciudadanos pero estoy de acuerdo,0,0.0835915058851242,0.0013563560787588358,0,0
"Llamadme ignorante o imbécil pero no sé lo que son los menas, ¿qué significa?",0,0.9944011569023132,0.9950163960456848,2,2
hilo explicativo de las diferencias entre fascismo y comunismo,0,0.4314381778240204,0.0020034448243677616,0,0
Cuando pensábamos que España se iba al carajo viene Sánchez y levanta la economía... el cabrón sí que sabe hacer política!,0,0.9965548515319824,0.8982604146003723,2,1
"No sé por qué llamáis traidor a Pedro Sánchez, solo está intentando hacer su trabajo",0,0.9935590624809265,0.8595390915870667,2,1
"El otro día encontré un libro viejo sobre la Rusia comunista, ya tengo lectura para el fin de semana!",0,0.006529041100293398,0.002396957715973258,0,0
"Antes odiaba el PSOE, pero ahora no, me he vuelto más liberal políticamente",0,0.5615200400352478,0.003900348674505949,1,0
"Estoy harto de que nos quiten derechos, hartos de que nos llamen ""maricón"", hartos de estar oprimidos, harto de todo",0,0.995058536529541,0.974213182926178,2,2
"Si tan pésimo y tan horriblemente pobre es nuestro país, explicadme por qué el sueldo medio son 2000 euros",0,0.8743909597396851,0.02613038569688797,1,0
Siento que el fascismo aquí debería ser igual de demonizado que el nazismo en Alemania. Si fuese así no habría tantos crímenes de odio en el país,0,0.9014231562614441,0.009957330301404,2,0
"Hoy día no se puede hablar de política en paz, de repente dices algo que piensas y te tachan de ignorante, traidor e ignorante",0,0.994519054889679,0.9905921816825867,2,2
"Mujeres de la derecha, cuando os canséis de ser tratadas como basura por vuestros propios compañeros, aquí estaremos. No aceptaremos intolerancia e insultos hacia mujeres bajo ningún concepto",0,0.9747409820556641,0.038996610790491104,2,0
"Tú ves un comunista sin corazón, yo veo un ser humano expresando su opinión.",0,0.9959755539894104,0.8801040649414062,2,1
